Species,ThermalAffinity,BodySize,DepthRange,PLD,Diet,Aggregation,Position,ParentalMode,JPN_sp,AUS_sp,RMI_sp
Chironemus marmoratus,subtropical,40,30,300,Predator,solitary,Benthic,scatterers,0,1,0
Chlorurus bleekeri,tropical,49,22,40,Herbivore,groups,UpperBenthic,scatterers,1,0,1
Chlorurus bowersi,tropical,40,18,NA,Herbivore,solitary,UpperBenthic,scatterers,1,0,0
Chlorurus frontalis,tropical,50,30,40,Herbivore,groups,UpperBenthic,scatterers,1,0,1
Chlorurus japanensis,tropical,31,19,40,Herbivore,groups,UpperBenthic,scatterers,1,0,1
Chlorurus microrhinos,tropical,70,14,37,Herbivore,groups,UpperBenthic,scatterers,1,1,1
Chlorurus sordidus,tropical,40,50,30,Herbivore,solitary,UpperBenthic,scatterers,1,1,1
Choerodon azurio,subtropical,40,42,27,Predator,solitary,UpperBenthic,scatterers,1,0,0
Choerodon cephalotes,tropical,38,NA,27,Predator,solitary,UpperBenthic,scatterers,0,1,0
Choerodon fasciatus,subtropical,30,30,20,Predator,solitary,UpperBenthic,scatterers,1,1,0
Choerodon graphicus,tropical,51.5,19,27,Predator,solitary,UpperBenthic,scatterers,0,1,0
Chromis acares,tropical,4,35,27,Planktivore,schools,UpperBenthic,Nesters,0,0,1
Chromis agilis,tropical,10,62,32.7,Planktivore,groups,UpperBenthic,Nesters,1,0,1
Chromis alleni,temperate,6.5,20,NA,Planktivore,groups,Benthic,Nesters,1,0,0
Chromis alpha,tropical,12,83,30,Planktivore,groups,UpperBenthic,Nesters,0,0,1
Chromis amboinensis,tropical,10,65,22,Planktivore,groups,Benthic,Nesters,0,0,1
Chromis analis,tropical,17,134,NA,Planktivore,solitary,Benthic,Nesters,1,0,0
Chromis atripectoralis,tropical,12,28,19,Planktivore,schools,Benthic,Nesters,0,1,1
Chromis atripes,tropical,9,15,30,Planktivore,solitary,UpperBenthic,Nesters,1,0,1
Chromis chrysura,tropical,14,39,23.5,Planktivore,solitary,Benthic,Nesters,1,1,0
Chromis flavipectoralis,tropical,8,13,30,Planktivore,solitary,Benthic,Nesters,1,0,0
Chromis flavomaculata,subtropical,16,34,37,Planktivore,schools,UpperBenthic,Nesters,1,1,0
Chromis fumea,tropical,10,69,NA,Planktivore,solitary,Benthic,Nesters,1,0,0
Chromis hypsilepis,subtropical,16,43,37,Planktivore,schools,UpperBenthic,Nesters,0,1,0
Chromis lepidolepis,tropical,9,41,31.5,Planktivore,groups,UpperBenthic,Nesters,1,1,1
Chromis lineata,tropical,7,33,33.75,Planktivore,schools,UpperBenthic,Nesters,0,0,1
Chromis margaritifer,tropical,9,18,31.8,Planktivore,solitary,UpperBenthic,Nesters,1,1,1
